,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Computer science,0.652986,0.652579,0.652790,0.652597,0.650856,0.649618,0.649919,0.650269,0.648543,0.648366,0.646509,0.643715,0.636531,0.632412,0.629211,0.629322,0.628302,0.629816,0.632217
Artificial intelligence,0.426719,0.422961,0.425285,0.425460,0.437648,0.446404,0.447914,0.451119,0.463458,0.466505,0.483276,0.502207,0.530024,0.549015,0.563340,0.569054,0.578765,0.583754,0.590108
Computer vision,0.249802,0.245048,0.237680,0.234717,0.241573,0.246466,0.251067,0.246482,0.245325,0.237521,0.229066,0.216637,0.202857,0.181685,0.168432,0.151665,0.146314,0.139899,0.139651
Computer network,0.240606,0.246730,0.249288,0.254552,0.239633,0.226896,0.217542,0.208367,0.192378,0.187051,0.171329,0.157708,0.124223,0.098842,0.075871,0.063573,0.048929,0.000000,0.000000
Pattern recognition (psychology),0.121472,0.124433,0.129402,0.134602,0.140790,0.145716,0.146191,0.148178,0.156151,0.167847,0.175543,0.181636,0.188198,0.177937,0.173535,0.161041,0.161255,0.154114,0.139033
Process (computing),0.111032,0.106072,0.107786,0.107767,0.104143,0.102532,0.102149,0.101850,0.102273,0.100452,0.097679,0.090259,0.088105,0.076614,0.074545,0.074194,0.068526,0.065050,0.060883
Context (archaeology),0.086559,0.090989,0.095761,0.095985,0.092068,0.089554,0.093633,0.098879,0.093031,0.095956,0.092130,0.090135,0.081308,0.076366,0.070270,0.067596,0.061774,0.060886,0.064117
Task (project management),0.069820,0.072390,0.077556,0.072657,0.078735,0.074357,0.081091,0.077614,0.087184,0.082556,0.085826,0.094789,0.096109,0.102584,0.097029,0.097032,0.084911,0.079746,0.077868
Natural language processing,0.077348,0.078462,0.080800,0.085409,0.086413,0.089320,0.074912,0.089706,0.085703,0.082719,0.084296,0.088035,0.080269,0.085376,0.080382,0.077040,0.069495,0.061291,0.056619
Set (abstract data type),0.104083,0.100330,0.103390,0.099575,0.099395,0.094298,0.098246,0.097474,0.095579,0.090912,0.092655,0.083821,0.076702,0.068831,0.060705,0.057331,0.050322,0.000000,0.000000
Machine learning,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060829,0.063667,0.071347,0.086780,0.102555,0.127559,0.146149,0.169124,0.184458,0.197199,0.207846
Convolutional neural network,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078427,0.135433,0.168505,0.183493,0.179121,0.177314,0.170424,0.154665
Segmentation,0.059695,0.000000,0.000000,0.059492,0.059126,0.061479,0.061952,0.000000,0.063934,0.062606,0.065143,0.065785,0.067219,0.070577,0.076563,0.079214,0.082836,0.086617,0.093334
Artificial neural network,0.074670,0.067754,0.000000,0.000000,0.000000,0.060065,0.000000,0.000000,0.000000,0.000000,0.063244,0.077049,0.094878,0.111576,0.115553,0.117422,0.111201,0.102399,0.087981
Distributed computing,0.113882,0.115068,0.103552,0.096891,0.089036,0.088403,0.084790,0.085562,0.081419,0.082103,0.073342,0.066269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Feature (linguistics),0.000000,0.000000,0.000000,0.000000,0.000000,0.059265,0.062309,0.000000,0.064712,0.067538,0.070386,0.075763,0.080546,0.079510,0.084357,0.085146,0.089568,0.091317,0.090831
Scalability,0.073366,0.071583,0.072958,0.071919,0.073130,0.072705,0.077261,0.077658,0.077352,0.081784,0.076863,0.069832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Algorithm,0.092426,0.088518,0.085338,0.082037,0.083549,0.083600,0.077914,0.073213,0.071123,0.071647,0.063907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Deep learning,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080903,0.107595,0.121617,0.136233,0.140839,0.143383,0.142568
Wireless sensor network,0.000000,0.078193,0.091169,0.093997,0.095091,0.092581,0.083580,0.079143,0.072938,0.068185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cloud computing,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063207,0.083224,0.095047,0.102254,0.102196,0.092511,0.080084,0.068144,0.056531,0.000000,0.000000,0.000000,0.000000
Cluster analysis,0.000000,0.000000,0.058647,0.061142,0.062398,0.064432,0.063776,0.065016,0.064666,0.067536,0.066669,0.062699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Information retrieval,0.063012,0.060550,0.071846,0.068489,0.065480,0.066280,0.063780,0.060135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Computer security,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063110,0.066663,0.066824,0.066917,0.069688,0.070249,0.063293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Network packet,0.072156,0.068966,0.066441,0.071153,0.064215,0.063157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Benchmark (surveying),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058062,0.062664,0.066894,0.069142,0.070149,0.069803
Classifier (UML),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062283,0.058562,0.055977,0.052608,0.053636,0.049135,0.000000
Support vector machine,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062555,0.056056,0.000000,0.052532,0.054070,0.054382,0.050048
Robustness (evolution),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055736,0.061557,0.061930,0.065104,0.073722
Software,0.064027,0.062788,0.060414,0.000000,0.000000,0.000000,0.000000,0.060266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
