year,tier1_lambda1,tier1_n,tier2_lambda1,tier2_n,tier3_lambda1,tier3_n
2005,20915.02,88870,302.04,383,40.68,81
2006,24180.25,99497,315.05,404,44.87,87
2007,23816.46,98872,357.54,430,41.88,70
2008,26310.97,108804,339.38,434,44.64,90
2009,28193.92,114588,382.41,449,44.33,82
2010,30625.29,123131,382.72,477,48.80,95
2011,30202.81,123943,369.99,455,0.00,0
2012,31737.46,131092,388.85,486,43.32,77
2013,33005.83,134252,397.36,543,48.03,98
2014,34759.15,122395,399.31,490,54.49,89
2015,37621.93,143488,346.15,500,52.94,87
2016,40848.50,150187,423.56,562,41.67,76
2017,48302.38,156086,353.71,517,37.02,62
2018,59171.41,161298,84.97,146,38.83,82
2019,72567.48,188886,386.09,553,44.65,76
2020,79331.45,197479,375.14,535,40.71,78
2021,86033.05,196185,388.36,543,35.87,68
2022,86145.80,191281,406.61,522,34.76,63
2023,81048.15,174645,366.48,509,30.88,53
